cod_mpio,year,hansen_sedes_all_hl60,hansen_sedes_all_hl120,e2sfca_sedes_all_120min,e2sfca_sedes_all_180min,hansen_sedes_ips_hl60,hansen_sedes_ips_hl120,e2sfca_sedes_ips_120min,e2sfca_sedes_ips_180min
05021,2024,4544.005647331088,8548.732633198979,0.0011553702863871741,0.0011499168507551666,556.1848599092774,1056.3011202982823,0.0001632286364617111,0.00015065646622533784
05021,2025,4544.005647331088,8548.732633198979,0.0011462478951349778,0.0011415337013638194,556.1848599092774,1056.3011202982823,0.00016189844948649788,0.00014959451624093928
05030,2021,8490.858117031032,12052.026678026396,0.0024964348309576014,0.00242921848017085,1049.1807659722238,1542.3127429025822,0.0002950680010972451,0.00029145284220579603
05030,2022,8490.858117031032,12052.026678026396,0.0024759124695994993,0.0024091020777880705,1049.1807659722238,1542.3127429025822,0.0002926678319634422,0.0002890659044191667
05030,2023,8490.858117031032,12052.026678026396,0.0024588363500119247,0.0023923219452338332,1049.1807659722238,1542.3127429025822,0.00029067323691397637,0.00028708081910302444
05030,2024,8490.858117031032,12052.026678026396,0.002439593636323126,0.0023734715064167773,1049.1807659722238,1542.3127429025822,0.0002884149529093173,0.0002848400388920708
05030,2025,8490.858117031032,12052.026678026396,0.0024232134550489985,0.002357382456069346,1049.1807659722238,1542.3127429025822,0.000286500788569044,0.0002829331184974324
05031,2021,1604.9902978638954,4945.483810926164,0.0008317834772289314,0.0005742415767329801,205.02475650895136,624.1959935829132,0.00012017093112518727,8.451137992790021e-05
05031,2022,1604.9902978638954,4945.483810926164,0.000823947036249707,0.0005687064231235334,205.02475650895136,624.1959935829132,0.00011904400119907692,8.371779183410677e-05
05031,2023,1604.9902978638954,4945.483810926164,0.0008167243521413723,0.0005636827412510256,205.02475650895136,624.1959935829132,0.00011800837553153089,8.300028844267965e-05
05031,2024,1604.9902978638954,4945.483810926164,0.0008093235151235929,0.0005585278256044419,205.02475650895136,624.1959935829132,0.0001169392776343854,8.226631585726413e-05
05031,2025,1604.9902978638954,4945.483810926164,0.0008028142658855634,0.0005539606464680658,205.02475650895136,624.1959935829132,0.00011600146464475219,8.161421125254296e-05
05034,2021,3518.5791809658886,8236.448977148946,0.0008063971372255659,0.0010089662542127906,495.672964689947,1168.2820383904004,0.00015396688969113103,0.00023005689211803645
05034,2022,3518.5791809658886,8236.448977148946,0.0008020584262986053,0.0010008319713316145,495.672964689947,1168.2820383904004,0.00015313227741193283,0.00022806680981712514
05034,2023,3518.5791809658886,8236.448977148946,0.0007990981325085267,0.0009942653360589745,495.672964689947,1168.2820383904004,0.00015254240081864735,0.0002264027540077335
05034,2024,3518.5791809658886,8236.448977148946,0.0007947062691491131,0.0009865388883835249,495.672964689947,1168.2820383904004,0.00015168944357470666,0.0002244744707783333
05034,2025,3518.5791809658886,8236.448977148946,0.000791565918495331,0.0009799762936361777,495.672964689947,1168.2820383904004,0.00015106615712373557,0.00022279823195226557
05036,2021,9715.818583098118,12774.457847090627,0.0025268116008804477,0.002491482842275382,1193.38989754278,1617.6461543147905,0.0003050678711402215,0.0003046280479558696
05036,2022,9715.818583098118,12774.457847090627,0.002506132264488363,0.0024709441082397293,1193.38989754278,1617.6461543147905,0.00030259575729284905,0.0003021332067256908
05036,2023,9715.818583098118,12774.457847090627,0.0024889207269719613,0.0024538082187561786,1193.38989754278,1617.6461543147905,0.0003005418649291484,0.00030005562209519304
05036,2024,9715.818583098118,12774.457847090627,0.0024695149742797093,0.0024345296573996767,1193.38989754278,1617.6461543147905,0.00029821702731436966,0.00029770934270868934
05036,2025,9715.818583098118,12774.457847090627,0.002453020460504723,0.002418115819081493,1193.38989754278,1617.6461543147905,0.0002962477594166367,0.00029571766749415844
05038,2021,3127.9214790162227,7016.017614025633,0.0007799355318885805,0.0007549362293728295,389.94060367038037,874.6232853363158,0.0001372363781973751,0.00010975182287326265
05038,2022,3127.9214790162227,7016.017614025633,0.0007744821031171307,0.0007484200363774714,389.94060367038037,874.6232853363158,0.0001362250122204436,0.00010880386154135084
05038,2023,3127.9214790162227,7016.017614025633,0.0007694604275184526,0.0007427985932676056,389.94060367038037,874.6232853363158,0.0001352942857176341,0.00010798230542746896
05038,2024,3127.9214790162227,7016.017614025633,0.0007638382154276738,0.000736650266100251,389.94060367038037,874.6232853363158,0.0001342347903932401,0.00010708000076095994
05038,2025,3127.9214790162227,7016.017614025633,0.0007593721931280059,0.0007313834884918273,389.94060367038037,874.6232853363158,0.00013340659872975496,0.00010631344180723576
05040,2021,1122.6619040170638,3791.967366090641,0.0006709528929128889,0.0005220268853938156,153.9422914298632,505.1508916019084,0.0001105052686417472,9.632098130399843e-05
05040,2022,1122.6619040170638,3791.967366090641,0.0006649591036709513,0.0005171904654242895,153.9422914298632,505.1508916019084,0.00010954380356355801,9.544827565599784e-05
05040,2023,1122.6619040170638,3791.967366090641,0.0006594309818363282,0.0005127867177555604,153.9422914298632,505.1508916019084,0.00010865811655070733,9.465227931287028e-05
05040,2024,1122.6619040170638,3791.967366090641,0.0006538304464249556,0.0005083230731812212,153.9422914298632,505.1508916019084,0.00010774810149567971,9.384798660726191e-05
05040,2025,1122.6619040170638,3791.967366090641,0.0006488589194652552,0.0005043839211608545,153.9422914298632,505.1508916019084,0.00010695103819024671,9.314224690701977e-05
05042,2021,5292.220362531846,9172.34416170614,0.0011001424799963937,0.0009753635738376766,657.1207562473429,1154.90851384149,0.00014308085547066752,0.00013189061374168688
