cod_dpto,departamento,cod_mpio,municipio,year,population_total,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps,rips_f_atenciones,rips_f_rows,rips_f_diagnosticos_distinct,rips_f_tipos_atencion_distinct,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_intento_suicidio_occurrence_mpio_distinct,departamento_ipm,ipm_total_pct,capacidad_salud_mental_reps,capacidad_salud_mental_reps_per_100k_dept,capacity_baseline_source_year,capacidad_salud_mental_reps_baseline,department_population_total,capacidad_salud_mental_reps_baseline_per_100k_dept,capacity_access_per_100k_dept_for_proxy,reps_source_static_cut_2026,rips_source_available,sivigila_microdata_available,sedes_reps_per_100k,prestadores_reps_per_100k,rips_f_atenciones_per_100k,sivigila_intento_confirmados_per_100k,z_need_sivigila,z_need_ipm,z_access_reps,z_access_capacity,need_proxy_z,access_proxy_z,brecha_proxy_z,analysis_eligible_population
05,Antioquia,05030,Amagá,2023,32238,40.0,40.0,40.0,6.0,1.0,39.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,2.0,2.0,1.0,Antioquia,9.5,,,2020,606.0,6826125,8.87765752897874,8.87765752897874,True,False,True,124.07717600347416,124.07717600347416,,6.203858800173708,-1.2080884096784972,-0.5797766122186857,0.9515274571420956,-0.6401467370722275,-0.8939325109485914,0.15569036003493408,-1.0496228709835256,True
05,Antioquia,05030,Amagá,2024,32595,40.0,40.0,40.0,6.0,1.0,39.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,10.0,10.0,2.0,Antioquia,10.9,,,2020,606.0,6880799,8.807116731647008,8.807116731647008,True,False,True,122.71820831415862,122.71820831415862,,30.679552078539654,-0.6910811015474866,-0.27387395015539306,0.9494863127006027,-0.6391705051005323,-0.4824775258514398,0.1551579038000352,-0.637635429651475,True
05,Antioquia,05030,Amagá,2025,32858,40.0,40.0,40.0,6.0,1.0,39.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,,,,Antioquia,9.5,,,2020,606.0,6928372,8.746643511635922,8.746643511635922,True,False,False,121.73595471422485,121.73595471422485,,,,,,,,,,True
05,Antioquia,05031,Amalfi,2021,27516,21.0,21.0,21.0,2.0,1.0,20.0,Fecha corte REPS: Mar 12 2026  3:11PM,954.0,105.0,69.0,3.0,16.0,16.0,2.0,Antioquia,14.3,,,2020,606.0,6721140,9.0163275872843,9.0163275872843,True,True,True,76.31923244657654,76.31923244657654,3467.0737025730486,58.14798662596307,0.2517291832726266,-0.4398431594451328,0.1380891681592277,-0.6423664678863457,-0.0940569880862531,-0.252138649863559,0.1580816617773059,True
05,Antioquia,05031,Amalfi,2022,27923,21.0,21.0,21.0,2.0,1.0,20.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,16.0,16.0,1.0,Antioquia,10.7,,,2020,606.0,6777249,8.941681204276248,8.941681204276248,True,False,True,75.20681875156681,75.20681875156681,,57.300433334527085,-0.03558425665118853,-0.5107888765212991,0.13188694004468857,-0.6412964454504829,-0.27318656658624385,-0.25470475270289716,-0.018481813883346687,True
05,Antioquia,05031,Amalfi,2023,28334,21.0,21.0,21.0,2.0,1.0,20.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,16.0,16.0,1.0,Antioquia,9.5,,,2020,606.0,6826125,8.87765752897874,8.87765752897874,True,False,True,74.11590315521988,74.11590315521988,,56.469259546834195,-0.12459376316979683,-0.5797766122186857,0.124068709241438,-0.6401467370722275,-0.3521851876942413,-0.25803901391539474,-0.09414617377884654,True
05,Antioquia,05031,Amalfi,2024,28716,21.0,21.0,21.0,2.0,1.0,20.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,17.0,17.0,2.0,Antioquia,10.9,,,2020,606.0,6880799,8.807116731647008,8.807116731647008,True,False,True,73.12996239030505,73.12996239030505,,59.200445744532665,-0.008563776274849607,-0.27387395015539306,0.11873925735244079,-0.6391705051005323,-0.14121886321512134,-0.26021562387404573,0.1189967606589244,True
05,Antioquia,05031,Amalfi,2025,29054,21.0,21.0,21.0,2.0,1.0,20.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,,,,Antioquia,9.5,,,2020,606.0,6928372,8.746643511635922,8.746643511635922,True,False,False,72.27920424037998,72.27920424037998,,,,,,,,,,True
05,Antioquia,05034,Andes,2021,44621,75.0,67.0,75.0,15.0,7.0,68.0,Fecha corte REPS: Mar 12 2026  3:11PM,569.0,115.0,71.0,4.0,23.0,23.0,2.0,Antioquia,14.3,,,2020,606.0,6721140,9.0163275872843,9.0163275872843,True,True,True,168.0822930906972,150.15351516102282,1275.1843302480895,51.54523654781381,0.07327615180851191,-0.4398431594451328,1.6212161469723334,-0.6423664678863457,-0.18328350381831043,0.4894248395429939,-0.6727083433613044,True
05,Antioquia,05034,Andes,2022,44816,75.0,67.0,75.0,15.0,7.0,68.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,23.0,23.0,2.0,Antioquia,10.7,,,2020,606.0,6777249,8.941681204276248,8.941681204276248,True,False,True,167.3509460906819,149.50017850767583,,51.32095680114245,-0.17310399090630849,-0.5107888765212991,1.64111690627731,-0.6412964454504829,-0.3419464337138038,0.4999102304134136,-0.8418566641272174,True
