cod_dpto,departamento,cod_mpio,municipio,year,area_geografica,population
05,Antioquia,05044,Anzá,2021,Cabecera Municipal,1440
05,Antioquia,05044,Anzá,2021,Centros Poblados y Rural Disperso,5981
05,Antioquia,05044,Anzá,2021,Total,7421
05,Antioquia,05044,Anzá,2022,Cabecera Municipal,1486
05,Antioquia,05044,Anzá,2022,Centros Poblados y Rural Disperso,5987
05,Antioquia,05044,Anzá,2022,Total,7473
05,Antioquia,05044,Anzá,2023,Cabecera Municipal,1532
05,Antioquia,05044,Anzá,2023,Centros Poblados y Rural Disperso,6011
05,Antioquia,05044,Anzá,2023,Total,7543
05,Antioquia,05044,Anzá,2024,Cabecera Municipal,1563
05,Antioquia,05044,Anzá,2024,Centros Poblados y Rural Disperso,6065
05,Antioquia,05044,Anzá,2024,Total,7628
05,Antioquia,05044,Anzá,2025,Cabecera Municipal,1602
05,Antioquia,05044,Anzá,2025,Centros Poblados y Rural Disperso,6079
05,Antioquia,05044,Anzá,2025,Total,7681
05,Antioquia,05045,Apartadó,2019,Cabecera Municipal,99436
05,Antioquia,05045,Apartadó,2019,Centros Poblados y Rural Disperso,21819
05,Antioquia,05045,Apartadó,2019,Total,121255
05,Antioquia,05045,Apartadó,2020,Cabecera Municipal,100588
05,Antioquia,05045,Apartadó,2020,Centros Poblados y Rural Disperso,21076
05,Antioquia,05045,Apartadó,2020,Total,121664
05,Antioquia,05045,Apartadó,2021,Cabecera Municipal,101749
05,Antioquia,05045,Apartadó,2021,Centros Poblados y Rural Disperso,21023
05,Antioquia,05045,Apartadó,2021,Total,122772
05,Antioquia,05045,Apartadó,2022,Cabecera Municipal,102662
05,Antioquia,05045,Apartadó,2022,Centros Poblados y Rural Disperso,20916
05,Antioquia,05045,Apartadó,2022,Total,123578
05,Antioquia,05045,Apartadó,2023,Cabecera Municipal,103539
05,Antioquia,05045,Apartadó,2023,Centros Poblados y Rural Disperso,20800
05,Antioquia,05045,Apartadó,2023,Total,124339
05,Antioquia,05045,Apartadó,2024,Cabecera Municipal,103476
05,Antioquia,05045,Apartadó,2024,Centros Poblados y Rural Disperso,20947
05,Antioquia,05045,Apartadó,2024,Total,124423
05,Antioquia,05045,Apartadó,2025,Cabecera Municipal,104385
05,Antioquia,05045,Apartadó,2025,Centros Poblados y Rural Disperso,20818
05,Antioquia,05045,Apartadó,2025,Total,125203
05,Antioquia,05051,Arboletes,2019,Cabecera Municipal,10246
05,Antioquia,05051,Arboletes,2019,Centros Poblados y Rural Disperso,19492
05,Antioquia,05051,Arboletes,2019,Total,29738
05,Antioquia,05051,Arboletes,2020,Cabecera Municipal,10740
05,Antioquia,05051,Arboletes,2020,Centros Poblados y Rural Disperso,19470
05,Antioquia,05051,Arboletes,2020,Total,30210
05,Antioquia,05051,Arboletes,2021,Cabecera Municipal,11045
05,Antioquia,05051,Arboletes,2021,Centros Poblados y Rural Disperso,19514
05,Antioquia,05051,Arboletes,2021,Total,30559
05,Antioquia,05051,Arboletes,2022,Cabecera Municipal,11330
05,Antioquia,05051,Arboletes,2022,Centros Poblados y Rural Disperso,19523
05,Antioquia,05051,Arboletes,2022,Total,30853
05,Antioquia,05051,Arboletes,2023,Cabecera Municipal,11620
05,Antioquia,05051,Arboletes,2023,Centros Poblados y Rural Disperso,19530
05,Antioquia,05051,Arboletes,2023,Total,31150
05,Antioquia,05051,Arboletes,2024,Cabecera Municipal,11926
05,Antioquia,05051,Arboletes,2024,Centros Poblados y Rural Disperso,19523
05,Antioquia,05051,Arboletes,2024,Total,31449
05,Antioquia,05051,Arboletes,2025,Cabecera Municipal,12212
05,Antioquia,05051,Arboletes,2025,Centros Poblados y Rural Disperso,19495
05,Antioquia,05051,Arboletes,2025,Total,31707
05,Antioquia,05055,Argelia,2019,Cabecera Municipal,3519
05,Antioquia,05055,Argelia,2019,Centros Poblados y Rural Disperso,4279
05,Antioquia,05055,Argelia,2019,Total,7798
05,Antioquia,05055,Argelia,2020,Cabecera Municipal,3633
05,Antioquia,05055,Argelia,2020,Centros Poblados y Rural Disperso,4283
05,Antioquia,05055,Argelia,2020,Total,7916
05,Antioquia,05055,Argelia,2021,Cabecera Municipal,3695
05,Antioquia,05055,Argelia,2021,Centros Poblados y Rural Disperso,4277
05,Antioquia,05055,Argelia,2021,Total,7972
05,Antioquia,05055,Argelia,2022,Cabecera Municipal,3749
05,Antioquia,05055,Argelia,2022,Centros Poblados y Rural Disperso,4281
05,Antioquia,05055,Argelia,2022,Total,8030
05,Antioquia,05055,Argelia,2023,Cabecera Municipal,3819
05,Antioquia,05055,Argelia,2023,Centros Poblados y Rural Disperso,4280
05,Antioquia,05055,Argelia,2023,Total,8099
05,Antioquia,05055,Argelia,2024,Cabecera Municipal,3833
05,Antioquia,05055,Argelia,2024,Centros Poblados y Rural Disperso,4337
05,Antioquia,05055,Argelia,2024,Total,8170
05,Antioquia,05055,Argelia,2025,Cabecera Municipal,3893
05,Antioquia,05055,Argelia,2025,Centros Poblados y Rural Disperso,4322
05,Antioquia,05055,Argelia,2025,Total,8215
05,Antioquia,05059,Armenia,2019,Cabecera Municipal,1764
05,Antioquia,05059,Armenia,2019,Centros Poblados y Rural Disperso,3444
05,Antioquia,05059,Armenia,2019,Total,5208
