year,codigo_localidad,localidad_residencia,saludata_conducta_total,saludata_intento_suicidio,saludata_ideacion_suicida
2025,19,Ciudad Bolívar,3672,644,3028
2025,20,Sumapaz,1,0,1
2026,1,Usaquén,252,67,185
2026,2,Chapinero,81,17,64
2026,3,Santa Fe,70,17,53
2026,4,San Cristóbal,172,43,129
2026,5,Usme,182,50,132
2026,6,Tunjuelito,118,25,93
2026,7,Bosa,389,92,297
2026,8,Kennedy,458,109,349
2026,9,Fontibón,190,44,146
2026,10,Engativá,360,78,282
2026,11,Suba,507,139,368
2026,12,Barrios Unidos,73,17,56
2026,13,Teusaquillo,92,21,71
2026,14,Los Mártires,48,13,35
2026,15,Antonio Nariño,38,9,29
2026,16,Puente Aranda,117,24,93
2026,17,La Candelaria,14,5,9
2026,18,Rafael Uribe Uribe,173,42,131
2026,19,Ciudad Bolívar,301,68,233
