cod_mpio,year,rips_f_atenciones,rips_f_rows,rips_f_diagnosticos_distinct,rips_f_tipos_atencion_distinct
13873,2020,2272,159,74,4
13873,2021,2998,241,109,4
13894,2019,232,110,55,4
13894,2020,436,96,48,4
13894,2021,1767,99,51,3
15001,2019,23927,689,256,4
15001,2020,32396,753,235,4
15001,2021,46798,792,249,4
15022,2019,125,59,32,3
15022,2020,194,49,26,4
15022,2021,68,33,16,4
15047,2019,948,190,85,4
15047,2020,628,136,63,4
15047,2021,378,113,60,4
15051,2019,2083,106,55,4
15051,2020,547,103,45,4
15051,2021,103,41,28,4
15087,2019,211,56,43,4
15087,2020,181,45,31,4
15087,2021,276,70,51,4
15090,2019,79,22,17,4
15090,2020,121,29,18,2
15090,2021,108,31,24,3
15092,2019,22,15,10,2
15092,2020,39,12,9,3
15092,2021,81,14,7,3
15097,2019,433,111,79,4
15097,2020,443,97,61,4
15097,2021,236,80,43,4
15104,2019,754,180,65,4
15104,2020,883,158,80,4
15104,2021,672,135,83,4
15106,2019,28,16,12,4
15106,2020,36,19,13,2
15106,2021,21,15,9,3
15109,2019,148,48,29,2
15109,2020,236,44,22,4
15109,2021,101,38,20,3
15114,2019,4,2,2,1
15114,2020,36,12,7,1
15114,2021,5,3,2,1
15131,2019,107,37,21,2
15131,2020,196,64,36,4
15131,2021,119,42,27,4
15135,2019,141,33,20,4
15135,2020,107,28,18,3
15135,2021,224,56,36,3
15162,2019,343,54,30,4
15162,2020,267,50,30,3
15162,2021,254,45,29,3
15172,2019,247,57,28,4
15172,2020,113,26,18,3
15172,2021,226,35,20,3
15176,2019,4974,301,134,4
15176,2020,4631,236,123,4
15176,2021,4954,294,150,4
15180,2019,176,41,28,4
15180,2020,92,26,18,2
15180,2021,84,31,17,3
15183,2019,271,77,53,4
15183,2020,269,69,47,4
15183,2021,205,52,37,4
15185,2019,165,74,36,4
15185,2020,207,74,30,4
15185,2021,452,122,49,3
15187,2019,165,73,40,4
15187,2020,162,49,23,4
15187,2021,121,50,28,4
15189,2019,222,45,28,4
15189,2020,132,30,21,4
15189,2021,280,58,34,4
15204,2019,941,165,74,4
15204,2020,716,185,80,4
15204,2021,843,151,87,4
15212,2019,31,17,13,2
15212,2020,133,40,19,4
15212,2021,23,17,10,1
15215,2019,193,52,28,3
15215,2020,185,46,24,3
15215,2021,69,14,9,2
15218,2019,47,19,11,3
15218,2020,54,21,13,4
15218,2021,39,15,7,4
15223,2019,79,35,25,3
15223,2020,180,47,28,3
15223,2021,244,46,25,4
15224,2019,68,34,21,4
15224,2020,46,14,10,4
15224,2021,95,24,15,3
15226,2019,29,10,6,2
15226,2020,38,16,12,3
15226,2021,51,9,6,2
15232,2019,45,15,15,4
15232,2020,39,6,5,2
15232,2021,10,6,5,3
15236,2019,9,7,7,1
15236,2020,15,4,2,3
15236,2021,4,3,3,2
15238,2019,17395,527,234,4
15238,2020,16256,446,195,4
15238,2021,19995,684,209,4
15244,2019,408,63,26,3
15244,2020,285,78,27,4
15244,2021,304,74,24,4
15248,2019,308,74,21,2
15248,2020,246,77,17,3
15248,2021,176,64,17,2
15272,2019,271,89,29,4
15272,2020,677,87,29,4
15272,2021,318,85,26,3
15276,2019,461,85,31,4
15276,2020,165,59,24,4
15276,2021,353,110,44,4
15293,2019,413,174,67,4
15293,2020,764,117,55,4
15293,2021,245,92,43,4
15296,2019,154,72,40,4
15296,2020,378,104,48,4
15296,2021,193,72,37,3
15299,2019,1555,208,96,4
15299,2020,686,120,53,4
15299,2021,1388,175,76,4
15317,2019,64,38,20,3
15317,2020,81,22,16,2
15317,2021,118,40,21,4
15322,2019,355,106,60,4
15322,2020,474,88,47,4
15322,2021,656,109,63,4
15325,2019,202,63,32,3
15325,2020,208,32,13,4
15325,2021,99,34,14,4
15332,2019,342,43,25,4
15332,2020,257,30,20,3
15332,2021,141,64,37,4
15362,2019,78,44,26,3
15362,2020,184,50,24,4
15362,2021,105,48,23,4
15367,2019,580,146,59,4
15367,2020,549,75,31,4
15367,2021,677,132,59,4
15368,2019,137,50,21,4
15368,2020,122,42,25,4
15368,2021,125,32,14,3
15377,2019,56,28,20,2
15377,2020,47,15,7,4
15377,2021,49,22,13,2
15380,2019,59,27,17,4
15380,2020,18,12,8,2
15380,2021,112,42,19,3
15401,2019,30,22,9,3
15401,2020,66,26,11,3
15401,2021,55,18,8,2
15403,2019,494,73,31,4
15403,2020,153,46,19,4
15403,2021,385,76,26,3
15407,2019,1153,293,77,4
15407,2020,710,174,65,4
15407,2021,1147,229,76,4
15425,2019,179,41,28,3
15425,2020,86,22,19,3
15425,2021,147,43,25,4
15442,2019,68,35,34,4
15442,2020,124,56,43,4
15442,2021,264,76,50,4
15455,2019,1018,107,69,4
15455,2020,442,106,64,4
15455,2021,611,114,54,4
15464,2019,390,39,17,3
15464,2020,146,49,23,3
15464,2021,58,36,14,2
15466,2019,214,58,25,4
15466,2020,363,80,29,4
15466,2021,237,66,22,3
15469,2019,4538,455,139,4
15469,2020,2865,306,122,4
15469,2021,2325,295,147,4
15476,2019,130,41,27,3
15476,2020,287,57,34,4
15476,2021,278,57,37,4
15480,2019,274,64,47,4
15480,2020,338,51,37,4
15480,2021,220,56,41,4
15491,2019,227,44,44,3
15491,2020,621,55,47,4
15491,2021,245,57,48,4
15494,2019,176,61,47,4
15494,2020,267,60,31,4
15494,2021,192,52,29,4
15500,2019,210,81,46,4
15500,2020,171,62,30,4
15500,2021,252,72,40,4
15507,2019,135,59,41,4
15507,2020,187,46,27,3
15507,2021,133,46,27,3
15511,2019,215,65,35,4
15511,2020,81,30,22,4
15511,2021,186,57,39,3
15514,2019,169,50,33,4
15514,2020,161,38,25,3
15514,2021,128,43,26,3
15516,2019,6038,452,152,4
15516,2020,6349,470,141,4
15516,2021,7690,558,174,4
15518,2019,54,26,13,3
15518,2020,120,34,16,4
15518,2021,170,63,33,4
15522,2019,49,28,18,2
15522,2020,143,31,19,4
15522,2021,65,30,17,3
15531,2019,276,80,60,3
15531,2020,227,59,32,4
15531,2021,202,42,35,4
15533,2019,20,5,5,2
15533,2020,35,4,3,3
15533,2021,1,1,1,1
15537,2019,78,29,16,3
15537,2020,100,21,13,4
15537,2021,86,19,9,2
15542,2019,46,21,13,4
15542,2020,201,21,12,4
15542,2021,47,13,11,3
15550,2019,9,6,4,1
15550,2020,16,11,6,4
15550,2021,25,9,4,2
15572,2019,1390,213,115,4
15572,2020,3058,241,105,4
15572,2021,2336,277,136,4
15580,2019,244,83,41,4
15580,2020,319,94,40,3
15580,2021,500,85,38,4
15599,2019,1218,286,107,4
15599,2020,1058,203,95,4
15599,2021,963,161,92,4
15600,2019,266,107,54,4
15600,2020,273,81,40,4
15600,2021,263,71,31,4
15621,2019,58,20,15,3
15621,2020,61,16,12,2
15621,2021,82,33,22,2
15632,2019,522,134,70,4
15632,2020,226,60,39,4
15632,2021,278,56,39,3
15638,2019,54,25,21,4
15638,2020,70,29,22,3
15638,2021,95,33,22,4
15646,2019,671,140,66,4
15646,2020,797,106,77,4
15646,2021,704,95,80,4
15660,2019,42,17,17,2
15660,2020,43,18,14,4
15660,2021,93,29,26,2
15664,2019,214,70,37,4
15664,2020,133,51,29,4
15664,2021,146,50,31,3
15667,2019,238,65,42,4
15667,2020,217,52,36,4
15667,2021,172,66,40,4
15673,2019,192,70,49,4
15673,2020,246,63,43,4
15673,2021,235,72,38,4
15676,2019,99,36,25,4
15676,2020,102,22,16,2
15676,2021,69,40,28,2
15681,2019,146,42,31,3
15681,2020,159,37,33,3
15681,2021,202,56,41,4
15686,2019,125,30,20,4
15686,2020,166,44,31,3
15686,2021,90,31,24,3
15690,2019,159,34,28,3
15690,2020,86,39,25,4
15690,2021,133,31,23,4
15693,2019,531,52,34,4
15693,2020,374,68,42,2
15693,2021,94,28,19,3
15696,2019,129,45,38,4
15696,2020,78,19,16,2
15696,2021,52,31,18,4
15720,2019,131,57,35,4
15720,2020,137,43,26,2
15720,2021,188,44,22,3
15723,2019,133,32,21,2
15723,2020,124,18,11,2
15723,2021,42,21,15,3
15740,2019,136,38,25,4
15740,2020,182,33,23,4
15740,2021,296,36,24,3
15753,2019,878,122,61,4
15753,2020,435,62,33,4
15753,2021,406,61,31,3
15755,2019,153,50,29,4
15755,2020,150,52,33,4
15755,2021,267,61,36,4
15757,2019,225,47,38,3
15757,2020,106,27,21,4
15757,2021,287,49,44,4
15759,2019,12535,673,232,4
15759,2020,20792,541,169,4
15759,2021,5835,262,124,4
15761,2019,59,25,21,4
15761,2020,69,26,21,4
15761,2021,43,20,17,4
15762,2019,110,46,33,4
15762,2020,45,11,11,2
15762,2021,62,18,16,4
15763,2019,277,39,35,4
15763,2020,147,28,25,3
15763,2021,47,6,6,2
15764,2019,70,17,15,3
15764,2020,134,22,17,3
15764,2021,102,28,21,4
15774,2019,32,15,11,4
15774,2020,72,5,5,1
15774,2021,5,5,5,3
15776,2019,219,62,51,4
15776,2020,163,50,43,3
15776,2021,96,32,28,4
15778,2019,27,12,12,4
15778,2020,68,12,11,4
15778,2021,117,19,18,4
15790,2019,24,8,8,2
15790,2020,68,7,7,2
15790,2021,44,6,5,2
15798,2019,26,12,12,2
15798,2020,80,23,20,4
15798,2021,40,18,17,2
15804,2019,191,47,40,4
15804,2020,264,49,36,4
15804,2021,313,65,44,4
15806,2019,622,132,92,4
15806,2020,993,118,80,4
15806,2021,736,93,66,4
15808,2019,256,60,37,4
15808,2020,255,46,23,4
15808,2021,153,50,30,3
15810,2019,133,48,34,3
15810,2020,98,22,19,3
15810,2021,39,17,16,3
15814,2019,166,54,32,4
15814,2020,86,27,20,3
15814,2021,111,33,30,3
15816,2019,117,35,30,4
15816,2020,87,22,19,4
15816,2021,38,12,12,2
15820,2019,62,21,20,3
15820,2020,91,16,13,4
15820,2021,48,15,15,3
15822,2019,61,31,26,4
15822,2020,134,43,30,3
15822,2021,126,43,31,4
15832,2019,17,8,8,1
15832,2020,32,15,7,2
15832,2021,44,22,16,3
15835,2019,288,64,28,4
15835,2020,465,74,35,4
15835,2021,212,48,22,4
15837,2019,480,123,59,4
15837,2020,318,93,59,4
15837,2021,286,77,58,4
15839,2019,44,22,18,3
15839,2020,31,14,10,3
15839,2021,30,11,8,2
15842,2019,169,44,28,3
15842,2020,125,30,18,3
15842,2021,96,22,14,2
15861,2019,443,126,71,4
15861,2020,366,86,55,4
15861,2021,452,67,50,4
15879,2019,172,48,28,3
15879,2020,189,39,24,3
15879,2021,202,62,33,4
15897,2019,316,57,29,4
15897,2020,205,46,28,3
15897,2021,506,58,31,3
17001,2019,86804,700,320,4
17001,2020,122317,1064,338,4
17001,2021,70031,774,304,4
17013,2019,1496,233,104,4
17013,2020,1485,184,90,4
17013,2021,1483,178,86,4
17042,2019,2979,306,143,4
17042,2020,2263,211,118,4
17042,2021,403,82,64,4
17050,2019,1035,64,60,4
17050,2020,924,96,64,4
17050,2021,1160,119,78,4
