departamento,year,ipm_domain,ipm_pct,cod_dpto
Cundinamarca,2023,Centros poblados  y rural disperso,7.1,25
Cundinamarca,2023,Total,7.6,25
Cundinamarca,2024,Cabeceras,6.8,25
Cundinamarca,2024,Centros poblados  y rural disperso,9.4,25
Cundinamarca,2024,Total,7.4,25
Cundinamarca,2025,Cabeceras,3.2,25
Cundinamarca,2025,Centros poblados  y rural disperso,7.3,25
Cundinamarca,2025,Total,4.1,25
Chocó,2018,Cabeceras,29.4,27
Chocó,2018,Centros poblados  y rural disperso,60.3,27
Chocó,2018,Total,46.3,27
Chocó,2019,Cabeceras,26.7,27
Chocó,2019,Centros poblados  y rural disperso,55.1,27
Chocó,2019,Total,42.3,27
Chocó,2020,Cabeceras,33.5,27
Chocó,2020,Centros poblados  y rural disperso,61.5,27
Chocó,2020,Total,49.0,27
Chocó,2021,Cabeceras,25.3,27
Chocó,2021,Centros poblados  y rural disperso,44.4,27
Chocó,2021,Total,36.0,27
Chocó,2022,Cabeceras,25.2,27
Chocó,2022,Centros poblados  y rural disperso,45.8,27
Chocó,2022,Total,36.8,27
Chocó,2023,Cabeceras,25.5,27
Chocó,2023,Centros poblados  y rural disperso,46.4,27
Chocó,2023,Total,37.4,27
Chocó,2024,Cabeceras,18.8,27
Chocó,2024,Centros poblados  y rural disperso,45.2,27
Chocó,2024,Total,33.9,27
Chocó,2025,Cabeceras,16.3,27
Chocó,2025,Centros poblados  y rural disperso,41.5,27
Chocó,2025,Total,30.8,27
Huila,2018,Cabeceras,12.1,41
Huila,2018,Centros poblados  y rural disperso,27.0,41
Huila,2018,Total,18.0,41
Huila,2019,Cabeceras,12.5,41
Huila,2019,Centros poblados  y rural disperso,27.1,41
Huila,2019,Total,18.3,41
Huila,2020,Cabeceras,13.1,41
Huila,2020,Centros poblados  y rural disperso,39.0,41
Huila,2020,Total,23.4,41
Huila,2021,Cabeceras,11.8,41
Huila,2021,Centros poblados  y rural disperso,26.1,41
Huila,2021,Total,17.5,41
Huila,2022,Cabeceras,9.0,41
Huila,2022,Centros poblados  y rural disperso,19.7,41
Huila,2022,Total,13.3,41
Huila,2023,Cabeceras,7.2,41
Huila,2023,Centros poblados  y rural disperso,19.1,41
Huila,2023,Total,11.9,41
Huila,2024,Cabeceras,7.6,41
Huila,2024,Centros poblados  y rural disperso,15.8,41
Huila,2024,Total,10.9,41
Huila,2025,Cabeceras,6.3,41
Huila,2025,Centros poblados  y rural disperso,14.7,41
Huila,2025,Total,9.7,41
La Guajira,2018,Cabeceras,31.3,44
La Guajira,2018,Centros poblados  y rural disperso,72.9,44
La Guajira,2018,Total,53.3,44
La Guajira,2019,Cabeceras,28.1,44
La Guajira,2019,Centros poblados  y rural disperso,68.2,44
La Guajira,2019,Total,48.8,44
La Guajira,2020,Cabeceras,30.1,44
La Guajira,2020,Centros poblados  y rural disperso,72.7,44
La Guajira,2020,Total,51.7,44
La Guajira,2021,Cabeceras,26.3,44
La Guajira,2021,Centros poblados  y rural disperso,70.7,44
La Guajira,2021,Total,48.7,44
La Guajira,2022,Cabeceras,20.7,44
La Guajira,2022,Centros poblados  y rural disperso,65.0,44
