cod_mpio,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps
05847,68,59,68,1,1,67,Fecha corte REPS: Mar 12 2026  3:11PM
05854,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
05856,5,5,5,1,1,4,Fecha corte REPS: Mar 12 2026  3:11PM
05858,19,19,19,1,1,18,Fecha corte REPS: Mar 12 2026  3:11PM
05861,10,9,10,2,2,8,Fecha corte REPS: Mar 12 2026  3:11PM
05873,4,1,4,4,4,0,Fecha corte REPS: Mar 12 2026  3:11PM
05885,9,9,9,1,1,8,Fecha corte REPS: Mar 12 2026  3:11PM
05887,95,84,95,12,8,87,Fecha corte REPS: Mar 12 2026  3:11PM
05890,11,10,11,4,2,9,Fecha corte REPS: Mar 12 2026  3:11PM
05893,5,5,5,1,1,4,Fecha corte REPS: Mar 12 2026  3:11PM
05895,17,17,17,2,0,17,Fecha corte REPS: Mar 12 2026  3:11PM
08001,2164,1874,2164,804,7,2117,Fecha corte REPS: Mar 12 2026  3:11PM
08078,30,24,30,21,5,25,Fecha corte REPS: Mar 12 2026  3:11PM
08137,9,8,9,7,2,7,Fecha corte REPS: Mar 12 2026  3:11PM
08141,7,5,7,6,3,4,Fecha corte REPS: Mar 12 2026  3:11PM
08296,20,19,20,12,2,18,Fecha corte REPS: Mar 12 2026  3:11PM
08372,9,6,9,8,5,4,Fecha corte REPS: Mar 12 2026  3:11PM
08421,11,6,11,7,6,5,Fecha corte REPS: Mar 12 2026  3:11PM
08433,34,28,34,24,6,28,Fecha corte REPS: Mar 12 2026  3:11PM
08436,7,6,7,5,2,5,Fecha corte REPS: Mar 12 2026  3:11PM
08520,7,7,7,4,1,6,Fecha corte REPS: Mar 12 2026  3:11PM
08549,2,1,2,2,2,0,Fecha corte REPS: Mar 12 2026  3:11PM
08558,5,4,5,5,2,3,Fecha corte REPS: Mar 12 2026  3:11PM
08560,9,5,9,7,5,4,Fecha corte REPS: Mar 12 2026  3:11PM
08573,323,319,323,55,3,320,Fecha corte REPS: Mar 12 2026  3:11PM
08606,11,6,11,8,6,5,Fecha corte REPS: Mar 12 2026  3:11PM
08634,18,17,18,13,1,17,Fecha corte REPS: Mar 12 2026  3:11PM
08638,52,40,52,41,12,40,Fecha corte REPS: Mar 12 2026  3:11PM
08675,2,1,2,2,2,0,Fecha corte REPS: Mar 12 2026  3:11PM
08685,20,19,20,17,1,19,Fecha corte REPS: Mar 12 2026  3:11PM
08758,188,160,188,114,11,177,Fecha corte REPS: Mar 12 2026  3:11PM
08770,2,2,2,2,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
08832,6,2,6,5,5,1,Fecha corte REPS: Mar 12 2026  3:11PM
08849,2,2,2,2,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
11001,16181,13887,16181,2761,143,16036,Fecha corte REPS: Mar 12 2026  3:11PM
13001,1516,1256,1516,558,58,1457,Fecha corte REPS: Mar 12 2026  3:11PM
13006,7,2,7,7,6,1,Fecha corte REPS: Mar 12 2026  3:11PM
13030,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
13042,6,3,6,4,4,2,Fecha corte REPS: Mar 12 2026  3:11PM
13052,42,33,42,18,8,34,Fecha corte REPS: Mar 12 2026  3:11PM
13062,2,2,2,2,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
13074,6,4,6,4,3,3,Fecha corte REPS: Mar 12 2026  3:11PM
13140,8,5,8,7,4,4,Fecha corte REPS: Mar 12 2026  3:11PM
13160,6,3,6,4,4,2,Fecha corte REPS: Mar 12 2026  3:11PM
13188,6,5,6,4,2,4,Fecha corte REPS: Mar 12 2026  3:11PM
13212,10,3,10,8,8,2,Fecha corte REPS: Mar 12 2026  3:11PM
13222,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
13244,45,35,45,29,9,36,Fecha corte REPS: Mar 12 2026  3:11PM
13248,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
13268,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
13300,2,2,2,2,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
13430,121,97,121,73,16,105,Fecha corte REPS: Mar 12 2026  3:11PM
13433,13,6,13,10,8,5,Fecha corte REPS: Mar 12 2026  3:11PM
13440,1,1,1,1,0,1,Fecha corte REPS: Mar 12 2026  3:11PM
13442,21,11,21,18,11,10,Fecha corte REPS: Mar 12 2026  3:11PM
13458,6,4,6,4,3,3,Fecha corte REPS: Mar 12 2026  3:11PM
13468,34,27,34,19,9,25,Fecha corte REPS: Mar 12 2026  3:11PM
13473,5,3,5,3,3,2,Fecha corte REPS: Mar 12 2026  3:11PM
13490,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
13549,5,2,5,5,4,1,Fecha corte REPS: Mar 12 2026  3:11PM
13580,3,3,3,3,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
13600,4,4,4,3,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
13620,6,5,6,2,2,4,Fecha corte REPS: Mar 12 2026  3:11PM
13647,6,5,6,4,2,4,Fecha corte REPS: Mar 12 2026  3:11PM
13650,2,1,2,2,2,0,Fecha corte REPS: Mar 12 2026  3:11PM
13654,11,10,11,5,2,9,Fecha corte REPS: Mar 12 2026  3:11PM
13655,3,2,3,3,2,1,Fecha corte REPS: Mar 12 2026  3:11PM
