cod_mpio,year,month,cod_dpto,departamento,municipio,population_total,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_microdata_available
05002,2021,1,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,2.0,2.0,True
05002,2021,2,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,0.0,0.0,True
05002,2021,3,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,1.0,1.0,True
05002,2021,4,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,1.0,1.0,True
05002,2021,5,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,1.0,1.0,True
05002,2021,6,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,3.0,3.0,True
05002,2021,7,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,5.0,5.0,True
05002,2021,8,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,2.0,2.0,True
05002,2021,9,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,1.0,1.0,True
05002,2021,10,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,0.0,0.0,True
05002,2021,11,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,1.0,1.0,True
05002,2021,12,05,Antioquia,Abejorral,20962,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,3.0,3.0,True
05002,2022,1,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,0.0,0.0,True
05002,2022,2,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,0.0,0.0,True
05002,2022,3,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,0.0,0.0,True
05002,2022,4,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,3.0,3.0,True
05002,2022,5,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,2.0,2.0,True
05002,2022,6,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,1.0,1.0,True
05002,2022,7,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,5.0,5.0,True
05002,2022,8,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,9.0,9.0,True
05002,2022,9,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,2.0,2.0,True
05002,2022,10,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,5.0,5.0,True
05002,2022,11,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,5.0,5.0,True
05002,2022,12,05,Antioquia,Abejorral,21000,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,6.0,6.0,True
05002,2023,1,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,4.0,4.0,True
05002,2023,2,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,3.0,3.0,True
05002,2023,3,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,6.0,6.0,True
05002,2023,4,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,3.0,3.0,True
05002,2023,5,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,7.0,7.0,True
05002,2023,6,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,6.0,6.0,True
05002,2023,7,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,7.0,7.0,True
05002,2023,8,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,10.0,10.0,True
05002,2023,9,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,5.0,5.0,True
05002,2023,10,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,3.0,3.0,True
05002,2023,11,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,4.0,4.0,True
05002,2023,12,05,Antioquia,Abejorral,21030,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,4.0,4.0,True
05002,2024,1,05,Antioquia,Abejorral,21121,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,2.0,2.0,True
05002,2024,2,05,Antioquia,Abejorral,21121,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,8.0,8.0,True
05002,2024,3,05,Antioquia,Abejorral,21121,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,3.0,3.0,True
05002,2024,4,05,Antioquia,Abejorral,21121,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,4.0,4.0,True
05002,2024,5,05,Antioquia,Abejorral,21121,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,8.0,8.0,True
05002,2024,6,05,Antioquia,Abejorral,21121,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,3.0,3.0,True
05002,2024,7,05,Antioquia,Abejorral,21121,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,6.0,6.0,True
05002,2024,8,05,Antioquia,Abejorral,21121,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,7.0,7.0,True
05002,2024,9,05,Antioquia,Abejorral,21121,20.0,17.0,20.0,4.0,4.0,16.0,Fecha corte REPS: Mar 12 2026  3:11PM,7.0,7.0,True
