cod_mpio,year,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_intento_suicidio_occurrence_mpio_distinct
13042,2024,4,4,1
13052,2021,47,47,2
13052,2022,40,40,2
13052,2023,45,45,1
13052,2024,54,54,1
13062,2021,1,1,1
13062,2022,1,1,1
13074,2021,5,5,1
13074,2022,5,5,1
13074,2023,4,4,1
13074,2024,8,8,2
13140,2021,12,12,1
13140,2022,11,11,1
13140,2023,16,16,1
13140,2024,18,18,1
13160,2021,3,3,1
13160,2022,6,6,1
13160,2023,6,6,1
13160,2024,6,6,1
13188,2021,9,9,1
13188,2022,10,10,1
13188,2023,16,16,1
13188,2024,14,14,1
13212,2021,3,3,1
13212,2022,4,4,1
13212,2023,3,3,1
13212,2024,6,6,1
13222,2021,1,1,1
13222,2022,4,4,1
13222,2023,5,5,1
13222,2024,11,11,1
13244,2021,53,53,3
13244,2022,71,71,2
13244,2023,60,60,2
13244,2024,72,72,1
13248,2021,3,3,1
13248,2022,4,4,1
13248,2023,7,7,1
13248,2024,4,4,1
13268,2021,7,7,1
13268,2022,3,3,1
13268,2023,9,9,1
13268,2024,6,6,1
13300,2021,2,2,1
13300,2022,4,4,1
13300,2023,1,1,1
13300,2024,3,3,1
13430,2021,87,87,1
13430,2022,70,70,1
13430,2023,80,80,1
13430,2024,71,71,3
13433,2021,4,4,1
13433,2022,5,5,1
13433,2023,3,3,1
13433,2024,7,7,1
13440,2022,1,1,1
13440,2023,3,3,1
13442,2021,8,8,1
13442,2022,9,9,1
13442,2023,11,11,1
13442,2024,19,19,1
13458,2021,3,3,1
13458,2022,4,4,1
13458,2023,6,6,1
13458,2024,3,3,1
13468,2021,27,27,1
13468,2022,25,25,1
13468,2023,26,26,1
13468,2024,27,27,1
13473,2021,1,1,1
13473,2022,7,7,1
13473,2023,5,5,1
13473,2024,1,1,1
13490,2021,1,1,1
13490,2023,2,2,1
13549,2021,2,2,1
13549,2022,6,6,2
13549,2023,6,6,1
13549,2024,2,2,1
13580,2021,2,2,1
13580,2022,1,1,1
13580,2023,2,2,1
13580,2024,2,2,1
13600,2021,2,2,1
13600,2023,6,6,1
13600,2024,3,3,1
13620,2021,1,1,1
13620,2023,2,2,1
13620,2024,4,4,1
13647,2021,5,5,1
13647,2022,3,3,1
13647,2023,9,9,1
13647,2024,10,10,1
13650,2021,3,3,1
13650,2022,2,2,1
13650,2023,5,5,1
13650,2024,2,2,1
13654,2021,11,11,3
13654,2022,23,23,1
13654,2023,16,16,1
13654,2024,35,35,1
13655,2021,1,1,1
13655,2022,5,5,1
13655,2023,1,1,1
13655,2024,5,5,1
13657,2021,16,16,2
13657,2022,39,39,1
13657,2023,38,38,1
13657,2024,26,26,2
13667,2021,3,3,1
13667,2022,5,5,1
13667,2023,5,5,1
13667,2024,6,6,2
13670,2021,10,10,1
13670,2022,26,26,1
13670,2023,16,16,1
13670,2024,17,17,1
13673,2021,5,5,1
13673,2022,5,5,1
13673,2023,3,3,1
13673,2024,2,2,1
13683,2021,18,18,1
13683,2022,17,17,1
13683,2023,15,15,1
13683,2024,24,24,1
13688,2021,16,16,1
13688,2022,20,20,2
13688,2023,22,22,2
13688,2024,25,25,1
13744,2021,2,2,1
13744,2022,3,3,1
13744,2023,3,3,1
13744,2024,7,7,1
13760,2021,2,2,1
13760,2023,10,10,1
13760,2024,7,7,1
13780,2021,3,3,1
13780,2022,1,1,1
13780,2023,6,6,1
13780,2024,5,5,1
13810,2021,5,5,2
13810,2022,3,3,1
13810,2023,6,6,1
13810,2024,9,9,1
13836,2021,55,55,3
13836,2022,64,64,2
13836,2023,75,75,1
13836,2024,93,93,2
13838,2022,6,6,1
13838,2023,6,6,1
13838,2024,4,4,1
13873,2021,9,9,2
13873,2022,15,15,1
13873,2023,12,12,2
13873,2024,14,14,3
13894,2021,6,6,1
13894,2022,8,8,1
13894,2023,3,3,1
13894,2024,4,4,1
15001,2021,160,160,2
15001,2022,258,258,4
15001,2023,374,374,9
15001,2024,339,339,9
15022,2022,3,3,1
15022,2023,1,1,1
15022,2024,1,1,1
15047,2021,4,4,1
15047,2022,7,7,2
15047,2023,9,9,2
15047,2024,17,17,1
15051,2021,2,2,1
15051,2022,4,4,1
15051,2023,11,11,2
15051,2024,9,9,2
15087,2021,9,9,1
15087,2022,2,2,1
15087,2023,13,13,2
15087,2024,7,7,1
15090,2023,1,1,1
15092,2022,1,1,1
15097,2021,1,1,1
15097,2022,7,7,1
15097,2023,3,3,2
15097,2024,4,4,1
15104,2021,5,5,3
15104,2022,5,5,3
15104,2023,2,2,1
15104,2024,8,8,2
15106,2023,1,1,1
15106,2024,1,1,1
15109,2021,2,2,1
15109,2022,2,2,1
15109,2023,6,6,1
15109,2024,4,4,1
15114,2021,1,1,1
15114,2023,1,1,1
15131,2022,1,1,1
15131,2023,3,3,1
15131,2024,1,1,1
15135,2021,3,3,1
15135,2022,4,4,1
15135,2023,1,1,1
15135,2024,1,1,1
15162,2021,3,3,1
15162,2022,1,1,1
15162,2023,3,3,1
15162,2024,1,1,1
15172,2022,1,1,1
15172,2023,1,1,1
15176,2021,31,31,3
15176,2022,56,56,2
15176,2023,46,46,1
15176,2024,39,39,2
15180,2021,1,1,1
15180,2022,2,2,1
15180,2023,4,4,2
15180,2024,3,3,1
15183,2021,11,11,1
15183,2022,9,9,1
15183,2023,6,6,1
15183,2024,3,3,1
15185,2021,4,4,1
15185,2022,11,11,2
15185,2023,2,2,1
15185,2024,1,1,1
15187,2021,1,1,1
15187,2022,1,1,1
15187,2023,4,4,1
15187,2024,6,6,1
15189,2022,1,1,1
15189,2023,2,2,1
15204,2021,8,8,1
15204,2022,11,11,1
15204,2023,31,31,1
15204,2024,12,12,1
15212,2021,1,1,1
15212,2022,1,1,1
15212,2024,2,2,1
15215,2021,1,1,1
15215,2022,2,2,1
15215,2024,1,1,1
15218,2021,2,2,1
15218,2023,1,1,1
15218,2024,4,4,1
15223,2021,8,8,1
15223,2022,6,6,1
15223,2023,10,10,1
15223,2024,10,10,1
15224,2021,1,1,1
15224,2022,3,3,1
15224,2023,3,3,1
15224,2024,4,4,1
15226,2022,2,2,1
15226,2023,2,2,1
15232,2021,1,1,1
15232,2022,1,1,1
15232,2023,1,1,1
15232,2024,2,2,1
15238,2021,98,98,4
15238,2022,151,151,5
15238,2023,121,121,2
15238,2024,111,111,2
15244,2022,2,2,1
15244,2023,1,1,1
15244,2024,4,4,1
15248,2022,5,5,1
15248,2024,4,4,1
15272,2021,4,4,2
15272,2022,4,4,1
15272,2023,4,4,1
15272,2024,2,2,2
15276,2021,2,2,1
15276,2022,3,3,1
15276,2023,5,5,1
15276,2024,3,3,1
15293,2022,5,5,1
15293,2023,1,1,1
15293,2024,1,1,1
15296,2021,1,1,1
15296,2022,2,2,1
15296,2023,2,2,1
15296,2024,1,1,1
