cod_mpio,year,month,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados
05079,2023,6,4,4
05079,2023,7,5,5
05079,2023,8,5,5
05079,2023,9,6,6
05079,2023,10,3,3
05079,2023,11,6,6
05079,2023,12,2,2
05079,2024,1,5,5
05079,2024,2,5,5
05079,2024,3,7,7
05079,2024,4,4,4
05079,2024,5,6,6
05079,2024,6,1,1
05079,2024,7,3,3
05079,2024,8,2,2
05079,2024,9,3,3
05079,2024,10,3,3
05079,2024,11,6,6
05079,2024,12,2,2
05086,2021,6,1,1
05086,2022,5,1,1
05086,2022,7,1,1
05086,2023,7,1,1
05086,2023,8,1,1
05088,2021,1,28,28
05088,2021,2,31,31
05088,2021,3,31,31
05088,2021,4,23,23
05088,2021,5,21,21
05088,2021,6,32,32
05088,2021,7,35,35
05088,2021,8,30,30
05088,2021,9,32,32
05088,2021,10,32,32
05088,2021,11,34,34
05088,2021,12,35,35
05088,2022,1,18,18
05088,2022,2,20,20
05088,2022,3,43,43
05088,2022,4,35,35
05088,2022,5,33,33
05088,2022,6,36,36
05088,2022,7,38,38
05088,2022,8,44,44
05088,2022,9,62,62
05088,2022,10,50,50
05088,2022,11,55,55
05088,2022,12,44,44
05088,2023,1,45,45
05088,2023,2,45,45
05088,2023,3,58,58
05088,2023,4,64,64
05088,2023,5,54,54
05088,2023,6,53,53
05088,2023,7,57,57
05088,2023,8,37,37
05088,2023,9,69,69
05088,2023,10,57,57
05088,2023,11,31,31
05088,2023,12,49,49
05088,2024,1,49,49
05088,2024,2,35,35
05088,2024,3,53,53
05088,2024,4,60,60
05088,2024,5,45,45
05088,2024,6,33,33
05088,2024,7,48,48
05088,2024,8,59,59
05088,2024,9,64,64
05088,2024,10,46,46
05088,2024,11,43,43
05088,2024,12,39,39
05091,2021,2,1,1
05091,2022,3,1,1
05091,2022,6,1,1
05091,2022,8,1,1
05091,2023,2,1,1
05091,2023,4,1,1
05091,2023,5,1,1
05091,2024,5,1,1
05091,2024,7,2,2
05091,2024,8,1,1
05093,2021,1,1,1
05093,2021,2,1,1
05093,2021,3,1,1
05093,2021,7,1,1
05093,2021,9,1,1
